PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
66,0,3,male,,1,0,17.8,C
67,0,1,male,,0,0,44.89,S
68,0,3,male,29.3,0,0,8.22,S
69,1,1,female,33.3,0,0,56.93,S
70,0,3,male,52.8,0,0,4.0,S
71,0,3,male,32.4,0,0,12.53,S
72,0,1,male,65.4,2,0,95.85,S
73,0,1,male,36.9,0,0,99.01,S
74,0,3,male,4.3,0,1,12.94,Q
75,0,3,male,39.5,0,0,14.43,S
76,1,3,female,34.3,2,1,35.15,Q
77,0,3,male,47.1,0,0,8.25,S
78,1,1,male,38.4,0,0,55.42,C
79,0,2,male,27.1,2,0,19.9,S
80,1,1,female,,0,0,117.17,S
81,1,3,female,26.1,0,0,34.11,C
82,1,3,female,17.1,0,0,11.71,S
83,0,2,male,20.9,0,1,22.88,S
84,0,1,male,37.2,1,0,81.22,S
85,1,2,male,52.4,1,0,5.79,S
86,0,2,male,34.5,0,1,14.83,S
87,0,3,male,12.3,0,0,11.93,C
88,0,3,male,35.2,0,0,30.72,S
89,0,3,male,45.8,0,0,17.45,S
90,0,3,male,,0,1,4.4,C
91,1,1,female,27.1,0,0,27.96,S
92,0,3,male,29.2,0,0,6.6,S
93,0,3,male,18.0,1,0,11.02,S
94,1,3,female,38.1,0,1,5.72,S
95,0,3,male,27.3,0,0,29.86,S
96,1,3,female,34.9,0,3,7.47,S
97,0,3,male,16.6,1,0,18.5,S
98,1,2,male,22.9,0,1,29.16,S
99,0,1,female,,0,0,119.47,S
100,1,1,female,23.8,0,0,57.97,C
101,1,1,female,53.2,1,1,84.07,S
102,0,3,male,23.4,0,0,17.47,S
103,0,2,male,32.1,1,0,10.79,Q
104,0,3,male,42.1,2,0,4.0,S
105,0,3,male,,1,0,20.66,C
106,0,2,female,,0,0,22.89,S
107,0,2,male,7.6,0,0,11.09,C
108,0,3,female,46.7,0,0,4.0,S
109,1,1,male,21.3,3,0,48.26,S
110,0,1,male,64.8,0,0,51.42,S
111,0,2,male,21.1,0,0,11.95,S
112,1,1,female,31.6,0,0,132.85,C
113,1,3,female,50.6,0,0,25.51,S
114,1,3,female,,0,0,4.0,S
115,1,3,female,57.9,0,2,6.69,S
116,1,3,female,45.9,0,0,20.18,S
117,1,3,female,43.3,1,1,22.04,S
118,0,1,male,37.3,0,1,114.16,S
119,0,3,male,39.9,0,1,7.05,S
120,0,3,male,21.3,0,0,7.78,S
121,1,3,female,17.5,0,1,4.0,Q
122,1,3,female,29.0,1,1,4.0,S
123,0,2,male,26.6,0,0,24.88,S
124,1,1,female,22.7,0,0,145.35,C
125,1,1,female,38.7,0,0,89.51,S
126,0,2,male,42.4,2,0,11.02,S
127,0,3,male,30.2,0,0,8.93,S
128,0,3,female,49.7,1,0,9.13,S
129,1,1,male,13.0,0,0,91.83,S
130,1,3,female,,0,0,4.0,S
131,0,2,male,,0,0,21.63,S
132,1,1,female,2.9,1,0,37.11,C
133,1,1,female,,0,2,129.88,S
134,0,2,female,27.3,2,0,12.58,Q
135,0,3,male,50.2,0,0,22.95,S
136,1,2,female,37.8,0,0,19.05,S
137,1,3,female,14.7,0,0,17.71,S
138,0,3,male,55.0,1,0,12.26,Q
139,1,2,female,46.1,0,2,25.57,S
140,0,3,male,37.1,1,0,16.92,S
141,0,3,male,25.8,2,2,17.38,C
142,0,2,male,,2,0,14.51,S
143,0,3,male,23.8,0,0,8.56,C
144,0,2,male,44.2,0,0,14.34,S
145,1,2,female,,1,2,31.97,C
146,0,1,male,50.6,0,0,65.26,Q
147,1,3,female,22.2,0,0,4.0,S
148,0,3,male,13.3,0,1,27.98,S
149,0,1,male,31.0,0,0,95.94,S
150,0,2,male,4.2,0,0,28.62,Q
151,0,3,female,33.5,0,1,10.81,S
152,1,1,male,26.9,0,0,18.04,S
153,0,1,male,22.5,0,0,84.4,S
154,1,3,female,6.7,0,0,4.0,S
155,0,3,male,36.2,0,0,29.9,S
156,0,2,male,21.5,0,0,9.16,S
157,0,3,male,12.6,0,0,12.98,S
158,0,3,female,,0,0,13.28,S
159,0,1,male,28.6,0,0,90.67,S
160,1,3,female,53.8,0,2,12.3,S
161,0,2,male,52.3,1,3,12.19,C
162,0,3,female,22.6,0,0,16.25,C
163,1,3,female,20.6,1,0,5.3,S
164,1,3,female,35.6,0,2,14.08,S
165,0,1,male,15.0,0,0,21.86,S
166,0,3,female,33.2,0,0,4.33,S
167,0,2,male,39.7,0,2,15.13,S
168,0,1,male,46.2,0,0,39.82,S
169,1,1,male,27.6,0,0,120.96,S
170,1,3,female,26.1,0,0,14.55,Q
171,0,3,female,16.7,0,0,7.79,S
172,0,1,female,,0,0,50.56,S
173,0,3,male,25.8,2,0,8.0,S
174,0,1,male,,1,0,93.17,Q
175,0,3,female,41.8,0,0,14.03,S
176,1,1,male,17.8,0,1,81.49,S
177,1,3,male,49.9,0,1,16.06,S
178,0,2,male,25.2,1,0,6.17,S
179,0,3,male,28.7,0,1,29.22,S
180,0,1,male,,0,1,35.64,S
181,0,2,male,0.5,1,0,9.39,S
182,0,1,male,41.4,0,0,88.91,S
183,0,3,male,39.3,0,0,10.04,S
184,1,3,female,,2,0,16.13,C
185,0,2,male,29.9,0,0,26.63,S
186,1,3,male,,0,0,15.01,C
187,1,3,female,7.1,0,0,6.5,S
188,0,3,male,21.6,0,0,22.47,S
189,1,3,female,40.1,0,2,8.28,S
190,1,2,female,11.4,1,0,44.14,S
191,1,1,male,33.1,0,0,118.37,C
192,1,3,male,10.0,1,0,19.25,Q
193,1,3,female,35.5,2,0,5.27,S
194,0,3,female,28.5,0,2,15.09,S
195,0,2,male,6.4,0,0,33.26,S
196,0,2,male,45.3,0,0,13.47,S
197,0,3,male,18.7,1,0,4.77,S
198,1,3,female,17.7,1,0,16.97,S
199,0,3,male,31.8,0,0,6.27,Q
200,1,3,female,,1,0,9.77,S
201,0,3,male,14.8,0,1,15.12,Q
202,0,1,male,29.9,1,0,14.23,C
203,0,1,male,35.0,0,0,107.29,C
204,0,3,male,38.7,0,0,13.18,S
205,0,3,male,31.5,1,0,18.9,S
206,0,1,male,23.9,0,1,66.77,S
207,0,1,male,17.4,0,0,78.16,S
208,0,3,female,30.2,0,0,21.63,S
209,1,1,male,14.0,0,0,71.93,Q
210,1,1,male,0.5,0,2,23.18,C
211,1,3,female,35.1,2,0,6.46,C
212,0,3,female,41.7,0,1,22.67,C
213,1,3,female,0.5,0,1,12.73,S
214,1,1,female,14.9,0,0,9.38,S
215,0,3,male,37.7,0,0,22.33,S
216,0,1,male,57.8,0,0,101.18,S
217,0,2,female,,1,1,31.51,C
218,1,3,female,18.8,1,0,4.0,S
219,0,3,male,26.4,0,0,16.35,S
220,0,3,female,48.2,0,1,12.46,S
221,0,3,male,20.0,0,0,24.64,S
222,0,3,male,17.8,2,0,7.13,S
223,1,1,male,22.2,0,0,58.53,C
224,0,2,male,15.7,1,0,26.22,S
225,0,2,male,,0,1,16.67,S
226,0,2,male,,2,0,30.94,S
227,1,3,female,,1,0,9.91,S
228,0,2,male,,1,1,14.31,S
229,0,3,male,,0,0,11.91,Q
230,1,3,female,7.1,0,3,30.2,S
231,0,3,female,41.4,0,3,27.67,S
232,1,3,female,27.9,1,0,6.99,S
233,1,3,female,26.5,0,0,4.0,S
234,0,3,female,73.7,2,0,12.21,S
235,0,1,male,33.2,1,0,76.53,S
236,0,3,male,,0,0,6.12,S
237,0,2,male,23.0,1,0,13.46,C
238,1,1,male,,0,0,82.93,S
239,0,3,male,30.6,0,1,10.94,S
240,1,1,female,8.9,0,0,38.11,S
241,0,3,male,41.9,0,0,5.56,S
242,1,3,male,19.6,1,0,12.54,C
243,0,3,male,55.2,0,2,10.31,Q
244,1,2,female,,0,0,29.5,S
245,1,1,male,22.7,1,1,103.96,C
246,1,3,female,46.9,1,0,4.0,C
247,0,2,male,29.9,0,0,9.64,Q
248,0,3,male,40.9,1,0,10.16,S
249,0,3,male,,0,0,16.32,S
250,0,3,female,17.2,0,0,10.27,S
251,0,2,male,20.0,0,0,21.82,C
252,1,2,female,43.4,0,0,32.15,S
253,0,3,male,24.3,1,2,22.26,S
254,0,2,male,23.3,0,0,12.79,S
255,1,1,female,,1,2,129.75,S
256,1,3,female,34.9,0,0,18.44,S
257,1,3,female,,0,0,11.41,C
258,1,3,female,14.1,4,0,4.0,S
259,0,3,female,29.3,1,0,15.66,C
260,0,1,female,48.8,0,0,65.39,S
261,1,3,female,27.9,0,0,23.26,S
262,1,3,female,35.3,0,0,9.97,S
263,1,1,female,,0,0,12.52,S
264,0,3,male,,1,0,13.4,S
265,1,3,female,26.4,1,1,24.92,S
266,0,3,male,42.8,0,0,6.52,S
267,1,3,female,45.6,2,0,9.28,C
268,1,3,female,65.3,0,0,6.32,S
269,1,2,male,37.1,0,0,20.97,S
270,1,2,female,33.6,0,0,18.56,S
271,0,3,male,31.7,0,0,25.81,S
272,0,3,male,24.1,0,0,11.41,S
273,0,3,female,33.7,0,0,5.94,S
274,0,3,male,24.9,0,0,14.49,S
275,1,3,female,31.4,0,0,17.71,S
276,1,3,female,47.4,1,0,11.75,S
277,0,3,male,14.9,0,2,24.23,C
278,0,3,male,,0,0,6.5,S
279,0,3,male,47.4,1,0,10.7,S
280,0,3,male,27.3,2,1,15.37,C
281,1,3,female,,2,1,16.14,S
282,0,2,male,20.5,0,0,28.8,S
283,0,2,male,47.2,0,0,25.89,S
284,0,1,male,28.7,0,3,149.06,S
285,0,3,male,15.0,0,0,11.11,S
286,1,1,female,21.9,2,2,72.06,S
287,0,3,male,,0,0,17.93,Q
288,1,3,female,,0,0,7.91,C
289,0,2,male,25.7,0,0,16.33,S
290,1,3,female,,0,0,7.58,S
291,0,1,male,23.5,1,1,130.58,S
292,1,1,male,16.1,0,3,113.29,S
293,1,3,female,,0,0,15.15,S
294,0,2,male,,0,0,23.47,S
295,1,1,female,46.0,0,1,65.07,S
296,0,3,female,50.3,0,0,4.0,S
297,0,3,male,,0,0,7.32,Q
298,0,1,male,,0,0,110.92,S
299,0,3,female,34.7,1,0,10.54,Q
300,0,1,male,,2,1,74.97,Q
301,1,1,male,16.3,2,0,80.58,S
302,0,3,male,33.5,2,0,13.36,C
303,0,3,male,12.5,0,3,23.06,S
304,0,3,male,45.6,0,0,33.75,S
305,0,3,female,22.5,0,0,22.1,S
306,0,3,female,31.8,1,0,9.38,S
307,0,3,female,,3,0,9.05,S
308,1,2,female,25.4,1,0,20.9,S
309,0,3,male,37.2,0,0,4.0,S
310,1,2,female,22.4,2,0,25.07,S
311,0,2,male,41.2,0,0,18.73,S
312,0,1,male,10.2,0,0,101.74,S
313,1,1,male,30.8,0,0,37.93,S
314,0,3,male,56.1,0,0,7.04,S
315,0,3,female,15.0,0,0,9.69,S
316,1,3,female,19.5,0,0,16.56,S
317,0,2,male,36.2,0,0,25.51,C
318,0,1,male,31.5,0,2,70.89,S
319,1,1,female,33.9,1,1,70.46,S
320,1,2,male,35.8,0,0,28.2,S
321,0,3,male,37.9,0,1,16.13,C
322,0,3,male,44.5,1,0,9.26,S
323,1,3,female,34.7,1,3,7.99,S
324,0,2,female,,0,0,14.54,S
325,0,3,male,38.4,0,0,17.0,S
326,0,3,male,55.6,0,0,14.61,S
327,1,3,female,,0,0,9.62,S
328,1,3,female,,0,2,19.0,Q
329,0,2,male,44.5,1,0,18.94,S
330,0,2,female,27.3,0,0,37.05,S
331,0,2,male,0.5,1,0,43.91,S
332,0,3,male,,1,0,4.9,S
333,1,1,female,,2,0,80.74,C
334,0,1,male,27.7,0,0,76.7,S
335,0,1,male,33.6,1,2,85.24,S
336,1,1,male,31.7,0,0,56.93,S
337,0,3,male,38.9,0,0,5.27,C
338,0,3,female,22.9,0,2,22.67,C
339,0,3,male,36.2,0,0,7.71,S
340,1,1,female,25.4,1,0,97.78,S
341,0,3,male,39.3,0,0,16.02,S
342,0,3,male,37.6,0,1,4.0,Q
343,0,1,male,15.9,0,0,97.64,S
344,1,2,female,44.2,0,2,17.87,S
345,0,2,male,21.5,0,1,14.79,S
346,0,3,female,40.3,1,0,5.79,S
347,0,3,male,34.1,0,0,17.83,S
348,1,1,female,,0,0,58.79,Q
349,1,2,male,25.9,0,0,36.85,S
350,1,3,female,24.1,0,1,5.83,C
351,1,3,female,,0,2,15.43,S
352,0,3,female,24.8,0,0,23.66,S
353,1,3,female,,2,0,4.0,S
354,1,1,female,6.4,0,0,109.43,S
355,0,1,male,,0,0,62.05,Q
356,0,3,male,14.1,0,0,9.63,C
357,0,1,male,,1,0,59.6,S
358,1,3,female,52.9,0,0,16.37,S
359,0,3,male,27.5,0,0,21.01,S
360,0,3,female,26.6,1,0,20.12,Q
361,0,2,male,30.0,0,1,12.71,C
362,0,3,male,45.3,0,1,13.78,C
363,0,3,male,16.0,0,0,5.81,S
364,1,3,female,,0,0,19.92,S
365,0,3,male,,0,0,19.48,S
366,0,2,male,36.0,0,0,8.45,S
367,0,3,male,31.7,0,0,15.92,S
368,0,3,male,43.0,0,0,18.22,S
369,0,1,male,0.5,0,0,112.57,S
370,0,1,male,38.5,2,0,77.12,C
371,1,1,female,19.8,1,0,77.21,C
372,1,1,male,3.4,1,0,51.75,S
373,0,1,male,36.2,0,0,30.18,S
374,0,3,male,,0,3,12.59,S
375,1,1,male,27.1,0,0,49.4,C
376,0,2,male,42.3,0,0,20.35,C
377,0,3,male,51.6,3,0,20.16,C
378,0,1,male,47.4,0,2,105.01,C
379,0,3,male,52.0,0,0,16.77,S
380,0,2,female,39.4,0,0,14.6,S
381,0,1,female,,0,1,70.98,S
382,1,3,female,6.6,0,0,11.53,S
383,0,3,male,25.6,0,0,14.51,C
384,0,3,male,17.2,0,0,16.11,S
385,0,3,male,59.4,1,0,13.01,S
386,0,3,male,,0,0,10.68,S
387,0,2,female,30.7,2,0,23.29,Q
388,0,1,male,,1,0,104.66,S
389,0,3,male,29.6,0,0,23.27,S
390,0,3,male,52.7,1,0,30.64,S
391,1,3,female,20.3,0,0,22.59,S
392,1,2,male,31.7,2,0,12.32,S
393,1,2,male,18.6,0,2,27.64,S
394,0,3,male,10.5,0,0,21.19,S
395,0,2,male,20.4,0,0,10.86,C
396,0,3,male,28.5,0,0,16.91,S
397,0,3,male,23.0,3,0,9.35,S
398,0,2,male,,0,0,36.2,Q
399,0,3,male,9.3,0,0,15.92,S
400,0,3,male,27.8,0,0,5.66,S
401,1,1,male,7.9,2,0,92.95,C
402,0,3,male,39.6,0,1,21.47,S
403,1,3,female,30.2,0,0,14.59,S
404,0,3,female,8.6,0,0,16.84,S
405,1,2,male,,1,0,17.1,S
406,0,3,male,18.5,0,0,4.0,S
407,0,2,male,33.5,0,0,15.93,C
408,0,1,male,,0,0,129.78,S
409,1,3,female,2.7,1,0,11.98,S
410,0,1,male,,0,0,121.12,Q
411,1,2,female,26.8,0,1,19.41,S
412,0,3,male,38.4,0,0,10.39,S
413,0,3,male,32.0,1,0,19.65,S
414,0,3,female,18.5,2,2,14.77,S
415,1,3,female,,0,0,9.71,S
416,1,2,female,17.9,0,0,11.41,S
417,0,2,female,44.1,0,0,17.94,Q
418,0,2,male,29.3,0,0,27.6,Q
419,0,3,female,55.6,0,0,4.0,C
420,0,3,male,28.2,0,0,8.57,C
421,0,3,female,,0,0,23.47,S
422,0,3,male,,2,0,4.0,S
423,1,1,female,3.8,0,1,120.69,C
424,0,3,male,,1,0,16.51,S
425,0,1,male,32.7,0,0,157.11,Q
426,0,3,male,36.1,0,0,8.91,S
427,1,2,female,,0,0,30.18,S
428,0,3,male,41.5,0,1,29.34,S
429,0,2,male,,0,0,26.49,Q
430,0,1,male,31.1,1,0,108.75,S
431,1,1,male,,2,0,31.35,C
432,1,3,female,41.6,0,0,14.16,S
433,0,3,male,,0,0,15.25,S
434,1,1,female,16.5,0,0,126.92,C
435,0,1,male,0.5,0,0,97.02,S
436,0,3,male,18.9,0,0,13.67,S
437,1,1,female,,1,0,4.0,S
438,0,3,female,,3,0,37.12,S
439,0,3,male,27.2,2,2,18.01,S
440,1,1,male,30.1,0,1,71.33,S
441,1,1,female,25.9,1,2,83.1,S
442,0,3,male,19.9,1,3,5.98,Q
443,1,2,female,31.4,0,0,9.16,S
444,1,2,female,35.2,0,0,41.17,C
445,0,3,female,13.7,1,0,27.26,S
446,0,3,male,48.8,0,1,4.0,S
447,1,3,female,27.6,0,0,13.44,S
448,0,3,male,29.3,0,3,7.34,S
449,1,2,male,38.9,0,0,7.29,S
450,0,1,male,32.3,0,1,92.76,S
451,0,3,male,42.3,1,0,4.0,S
452,1,3,female,33.0,0,0,5.15,S
453,0,2,female,20.4,0,0,21.2,S
454,0,3,female,34.1,0,0,23.75,S
455,0,1,male,13.0,0,1,84.02,S
456,0,3,male,,0,0,10.51,Q
457,1,1,male,28.5,0,0,52.09,S
458,0,3,female,26.1,0,0,11.61,S
459,1,1,male,27.2,0,0,74.42,S
460,1,1,female,2.7,0,0,41.29,C
461,1,1,male,21.3,0,0,72.82,S
462,0,3,male,,0,0,8.56,C
463,1,3,female,,0,0,13.17,S
464,0,3,male,14.6,3,0,19.3,Q
465,1,3,female,46.7,0,0,14.04,C
466,0,2,female,16.9,1,0,4.0,C
467,0,2,male,,0,0,22.56,S
468,0,3,male,35.0,0,0,18.33,S
469,0,1,male,20.0,3,0,130.43,S
470,1,3,female,,0,0,9.21,S
471,0,1,male,12.3,0,0,94.1,C
472,0,3,male,,0,3,4.0,S
473,0,1,male,43.0,0,1,38.49,S
474,0,3,female,19.6,1,0,4.0,S
475,0,3,male,48.5,0,0,4.0,S
476,0,3,female,25.5,0,1,4.0,S
477,1,1,female,33.0,0,0,34.18,C
478,0,3,male,32.6,0,0,13.11,S
479,0,3,male,,1,0,4.0,S
480,0,3,female,40.4,1,0,16.93,S
481,0,3,male,40.1,0,2,20.91,S
482,1,3,female,4.5,0,0,17.07,S
483,1,3,male,47.3,1,0,11.49,S
484,0,3,male,5.7,0,0,14.86,S
485,1,3,female,43.5,0,1,20.21,C
486,0,3,male,44.8,0,1,9.25,C
487,0,1,male,,0,0,53.69,S
488,1,2,male,23.2,0,0,13.96,Q
489,0,3,male,13.5,3,0,4.0,C
490,0,3,male,26.0,0,1,20.33,C
491,0,3,male,24.7,0,1,29.46,S
492,1,3,female,39.9,0,0,6.01,Q
493,0,2,male,47.3,0,0,14.03,C
494,1,1,female,48.5,0,0,140.73,C
495,0,3,male,21.1,1,0,14.06,S
496,1,2,female,26.1,0,0,18.25,C
497,1,3,male,5.4,0,0,8.84,Q
498,1,1,female,17.7,0,0,72.68,S
499,0,3,male,,0,0,4.0,S
500,0,3,male,51.6,0,0,7.69,Q
501,0,3,male,11.7,1,0,4.0,S
502,0,3,male,20.7,0,0,16.43,S
503,0,2,male,28.6,1,0,19.02,S
504,0,3,male,32.9,0,0,11.23,Q
505,1,3,female,17.7,0,0,15.29,S
506,1,1,male,,0,0,51.29,S
507,0,3,male,22.4,0,1,18.92,S
508,0,3,male,28.8,0,0,14.04,C
509,0,3,female,36.6,0,1,4.0,S
510,0,3,male,29.1,0,0,20.52,C
511,1,3,male,22.9,0,0,9.88,Q
512,0,2,male,27.5,0,0,17.45,S
513,0,3,female,,0,0,9.49,S
514,1,3,female,23.8,0,0,4.0,S
515,0,1,male,25.4,0,0,112.12,S
516,1,1,female,51.4,0,1,125.43,S
517,1,2,female,36.9,1,0,20.11,Q
518,0,3,male,24.9,0,2,15.45,C
519,1,3,female,38.8,0,1,13.03,S
520,0,1,male,24.3,0,0,113.8,S
521,0,3,male,45.4,0,0,12.56,S
522,0,2,male,34.2,0,0,26.05,S
523,0,3,male,,0,1,4.0,S
524,0,3,male,,0,0,6.82,C
525,1,3,female,7.0,0,1,20.12,Q
526,0,3,male,13.2,0,0,25.71,S
527,0,2,male,,1,2,17.95,C
528,0,2,male,31.0,0,0,8.27,S
529,1,1,female,53.3,0,0,58.31,C
530,0,3,male,60.2,0,1,26.94,S
531,0,3,male,,0,1,29.44,S
532,0,3,male,36.0,0,0,4.0,Q
533,0,3,male,3.8,0,0,14.77,S
534,0,3,female,21.4,0,0,13.69,C
535,1,3,female,,0,2,9.61,S
536,0,3,male,20.3,1,0,16.94,S
537,0,3,female,26.6,4,1,13.33,S
538,0,2,male,22.4,0,0,20.25,S
539,0,3,female,1.3,0,0,12.79,S
540,0,1,male,39.5,0,0,117.45,S
541,0,3,male,14.0,0,1,14.46,S
542,0,3,male,32.3,0,0,18.02,S
543,1,1,female,58.0,0,1,135.46,S
544,0,3,male,16.1,2,0,16.62,S
545,0,3,male,0.5,0,0,4.0,Q
546,0,2,male,25.0,0,0,16.65,S
547,1,1,female,44.4,0,0,170.56,S
548,0,3,male,56.4,1,0,4.0,S
549,1,3,female,11.8,0,0,6.36,S
550,1,3,female,36.0,0,0,15.5,S
551,0,3,male,22.5,0,1,14.04,S
552,1,3,female,,1,0,19.45,S
553,0,3,male,66.0,0,0,8.2,S
554,0,3,female,,1,0,13.46,C
555,0,3,male,32.6,0,0,7.63,S
556,1,2,female,35.5,0,1,8.69,S
557,1,1,female,,0,0,37.01,S
558,1,1,female,30.4,0,1,141.04,C
559,0,3,female,33.3,0,0,21.49,S
560,0,3,male,23.5,1,0,13.26,S
561,0,3,male,32.8,0,0,19.44,S
562,1,1,female,,0,0,92.72,S
563,1,1,male,37.7,0,0,44.85,S
564,0,1,male,23.8,0,0,80.48,C
565,1,2,female,34.3,0,0,12.4,S
566,1,3,female,,0,0,31.71,S
567,0,2,female,,0,0,4.0,S
568,1,2,male,28.3,0,0,20.32,S
569,1,3,female,4.2,2,0,12.9,S
570,0,2,male,46.7,0,0,25.91,S
571,1,3,female,16.3,1,0,4.0,S
572,0,3,male,19.8,0,0,18.99,S
573,0,2,female,,0,0,30.57,S
574,1,3,female,48.2,0,1,7.12,S
575,0,3,male,0.5,0,0,4.0,S
576,1,3,female,72.9,1,0,10.4,S
577,0,1,male,43.8,0,3,39.29,S
578,1,3,female,,0,0,7.8,S
579,1,3,female,,1,0,17.88,S
580,0,2,male,,0,0,10.98,S
581,1,3,female,36.3,0,0,6.36,Q
582,1,3,female,38.0,0,0,17.71,C
583,0,3,male,36.8,1,2,18.33,S
584,0,2,male,30.3,0,0,7.54,C
585,0,3,female,26.2,0,1,14.1,C
586,1,2,female,26.9,0,0,14.04,S
587,1,1,female,,2,0,69.54,C
588,1,1,female,,0,0,39.29,S
589,1,1,male,37.3,0,1,69.65,S
590,1,1,female,0.5,0,2,50.38,S
591,0,1,male,38.2,2,0,111.06,S
592,0,3,male,31.7,1,2,9.44,S
593,0,1,male,28.7,4,0,56.76,S
594,0,2,male,,0,0,4.0,Q
595,0,3,male,44.7,0,0,8.02,C
596,0,3,male,42.3,0,0,9.6,C
597,1,3,female,,1,0,21.46,C
598,0,1,male,34.7,0,0,91.39,Q
599,0,1,male,15.4,0,0,139.63,S
600,1,1,male,9.7,1,0,88.96,S
601,0,1,male,20.2,0,0,52.33,S
602,1,2,male,,0,3,8.9,C
603,0,1,male,42.3,0,0,116.16,S
604,1,1,male,36.2,0,0,53.17,C
605,1,1,female,,1,0,66.39,S
606,0,3,male,36.2,0,0,12.69,S
607,0,1,male,20.0,0,1,38.03,C
608,0,2,male,35.0,0,0,13.42,S
609,1,3,female,40.2,0,1,6.3,S
610,0,3,male,39.6,0,0,4.0,S
611,0,1,male,,0,0,96.69,S
612,0,3,male,38.9,0,0,4.0,S
613,0,3,male,33.9,0,0,7.61,S
614,0,1,male,44.0,0,0,127.81,S
615,0,3,male,28.6,0,0,18.2,S
616,0,3,male,,1,0,5.95,C
617,0,1,male,26.7,1,0,119.95,S
618,0,2,male,18.6,1,3,41.86,S
619,0,3,female,19.5,0,0,8.57,C
620,1,3,female,,0,0,4.0,S
621,1,1,female,17.9,0,0,64.29,C
622,1,1,female,24.7,0,0,189.34,S
623,1,2,male,,0,0,36.5,S
624,0,3,male,32.0,0,1,4.0,S
625,0,3,male,29.0,3,2,21.73,Q
626,0,2,male,17.6,0,0,7.6,C
627,1,3,female,38.2,0,0,4.0,S
628,0,3,male,42.1,1,0,16.68,S
629,1,1,female,6.5,0,0,117.77,C
630,0,2,male,18.3,1,0,11.07,S
631,0,3,female,18.2,1,0,4.0,C
632,0,3,male,,2,0,20.93,S
633,0,3,male,40.6,0,0,14.43,S
634,0,3,male,,0,0,15.04,S
635,1,1,male,25.3,0,0,60.42,S
636,1,2,male,0.9,0,0,9.55,S
637,0,3,male,,0,0,4.0,Q
638,1,2,female,11.7,0,1,18.31,S
639,0,2,male,29.8,0,0,4.0,S
640,0,2,male,32.9,0,1,10.84,S
641,1,1,male,48.0,1,0,132.33,S
642,1,2,female,,1,0,27.6,C
643,0,1,male,0.5,0,0,61.63,C
644,0,2,male,31.6,0,0,14.11,S
645,1,1,male,54.2,1,2,92.52,Q
646,0,3,male,46.3,0,0,15.11,C
647,0,3,female,31.9,1,0,11.76,C
